Fecha,Cuadrante,Celda,Latitud,Longitud,Altitud,Nombre.provisional.morfo,de0a5.plantula,de5a10.de0a25,de10a15.de25a50,de15a20.de50a75,de20a25.de75a100,de25a30.de100a125,de30a35.de125a150,de35a40.de150a175,de40a45.de175a200,de45a50.de200a225,de50a55.de225a250,masde55.masde250,Floracion,Fructificacion,Colector.1,Numerodecoleccion_Plantula1,Colector.2,Numerodecoleccion_Plantula2,Colector.3,Numerodecoleccion_Plantula3,Colector.4,Numerodecoleccion_Adulto1,Colector.5,Numerodecoleccion_Adulto2,Colector.6,Numerodecoleccion_Adulto3,Repeticion
15-01-18,235,7463519,4.24696,-74.19766,3859,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-01-18,235,7463519,4.24696,-74.19766,3859,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
15-01-18,235,7463519,4.24696,-74.19766,3859,argentea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
17-01-18,268,7997426,4.21224,-74.17569,3519,grandiflora,1,1,1,1,1,1,1,1,1,0,0,0,0,1,YAM,183,NA,NA,NA,NA,YAM,182,NA,NA,NA,NA,0
17-01-18,268,7997426,4.21224,-74.17569,3519,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
17-01-18,268,7997426,4.21224,-74.17569,3519,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
17-01-18,268,7997426,4.21224,-74.17569,3519,argentea,1,1,1,1,1,1,0,0,0,0,0,0,1,1,YAM,180A,NA,NA,NA,NA,YAM,181,NA,NA,NA,NA,0
17-01-18,268,7956674,4.21501,-74.17613,3506,grandiflora,1,1,1,1,1,1,1,1,0,0,0,0,1,1,YAM,178A,NA,NA,NA,NA,YAM,176,NA,NA,NA,NA,0
17-01-18,268,7956674,4.21501,-74.17613,3506,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
17-01-18,268,7956674,4.21501,-74.17613,3506,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
17-01-18,268,7956674,4.21501,-74.17613,3506,argentea,0,1,1,1,1,1,1,0,0,0,0,0,0,1,YAM,177,NA,NA,NA,NA,YAM,179,NA,NA,NA,NA,0
17-01-18,268,7956674,4.21501,-74.17613,3506,argentea peluda,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,YAM,175,NA,NA,NA,NA,0
17-01-18,268,8103361,4.20489,-74.17969,3614,grandiflora,1,1,1,1,1,1,1,0,0,0,0,0,1,1,YAM,189,NA,NA,NA,NA,YAM,188,NA,NA,NA,NA,0
17-01-18,268,8103361,4.20489,-74.17969,3614,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
17-01-18,268,8103361,4.20489,-74.17969,3614,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
17-01-18,268,8103361,4.20489,-74.17969,3614,argentea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
17-01-18,268,8087072,4.2061,-74.17667,3659,grandiflora,1,1,0,1,1,1,1,1,1,0,0,0,1,1,YAM,185,NA,NA,NA,NA,YAM,184,NA,NA,NA,NA,0
17-01-18,268,8087072,4.2061,-74.17667,3659,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
17-01-18,268,8087072,4.2061,-74.17667,3659,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
17-01-18,268,8087072,4.2061,-74.17667,3659,argentea,1,1,1,1,1,1,1,1,1,0,0,0,1,1,YAM,187,NA,NA,NA,NA,YAM,186,NA,NA,NA,NA,0
18-01-18,268,8144084,4.20222,-74.18722,3297,grandiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
18-01-18,268,8144084,4.20222,-74.18722,3297,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
18-01-18,268,8144084,4.20222,-74.18722,3297,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
18-01-18,268,8144084,4.20222,-74.18722,3297,argentea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
